Date,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation,code
2013-01-31,19.0,4.9765,3.8179443383904,4.3504185846829,-12.580757868323,31.583764699506,9.1424391751718,23.713617067818,59.930163506477,37.310090299559,BIGMAC_ARG
2013-07-31,21.0,5.4125,3.8799076212471,4.6086320409656,-14.852063908256,28.600241396779,16.450697685849,33.222986187329,79.239261983778,37.489871076637,BIGMAC_ARG
2014-01-31,21.0,6.92125,3.0341340075853,4.541358803388,-34.385280066635,2.5827267884142,-11.950069442142,-6.8846045944659,55.73351526363,1.3626362829916,BIGMAC_ARG
2014-07-31,21.0,8.16875,2.5707727620505,4.3795620437956,-46.38638661,-18.120703533962,-30.847082262726,-29.000599392212,2.9348592056306,-12.532893059232,BIGMAC_ARG
2015-01-31,28.0,8.61,3.2520325203252,5.8455114822547,-32.107880577762,0.54024217710995,-0.80449472046582,-2.4946803003442,34.390487386178,6.0118333518105,BIGMAC_ARG
2015-07-31,28.0,9.135,3.0651340996169,5.8455114822547,-36.009726521569,-4.7584996217028,-0.35791837379467,-6.0109118219829,30.860919781029,5.0286769348088,BIGMAC_ARG
2016-01-31,33.0,13.80925,2.3897025544472,6.6937119675456,-51.527331552795,-24.861868308451,-18.714020194289,-18.720934526961,0.4085904664521,-17.029045678169,BIGMAC_ARG
2016-07-31,50.0,14.935,3.3478406427854,9.9206349206349,-33.574590420925,2.0726096168216,0.40224795003514,17.56448458418,19.76377270142,11.643103380531,BIGMAC_ARG
2017-01-31,55.0,15.8575,3.4683903515687,10.869565217391,-31.454736135007,6.2671477203176,8.2697553162259,29.626894343348,32.714616745128,13.625825886047,BIGMAC_ARG
2017-07-31,70.0,16.9675,4.1255341093267,13.207547169811,-22.15973378629,20.745540495415,18.933643413675,40.280424464901,64.016207558657,33.522488892593,BIGMAC_ARG
2018-01-31,75.0,18.9375,3.960396039604,14.204545454545,-24.992499249925,18.650589702972,5.8704706179769,21.637471378924,54.67412054135,17.830084729655,BIGMAC_ARG
2018-07-31,75.0,27.725,2.7051397655545,13.611615245009,-50.9,-22.2,-26.0,-15.1,1.2,-19.2,BIGMAC_ARG
2019-01-31,75.0,37.455,2.0024028834601,13.440860215054,-64.1,-41.9,-43.4,-33.8,-26.1,-39.6,BIGMAC_ARG
2019-07-31,120.0,41.8045,2.870504371539,20.905923344948,-50.0,-22.9,-20.1,-8.8,2.8,-12.5,BIGMAC_ARG
2020-01-31,171.0,60.0656,2.84688740310594,30.158730158730183,-49.79,-18.6,-16.3,-11.200000000000001,7.3,-11.1,BIGMAC_ARG
2020-07-31,250.0,71.24065,3.50923243962541,43.78283712784589,-38.542,3.0,1.0,15.5,31.7,10.2,BIGMAC_ARG
2021-01-31,320.0,85.3736,3.74823130335373,56.53710247349822,-33.800000000000004,11.600000000000001,-1.0,18.4,37.9,8.9,BIGMAC_ARG
2021-07-31,380.0,96.33375,3.94461961669716,67.2566371681416,-30.184,16.341,6.551,15.164,53.862,16.781,BIGMAC_ARG
2000-04-30,2.59,1.68,1.54,1.0318725099602,-38.579017264276,,,,,,BIGMAC_AUS
2001-04-30,3.0,1.98,1.52,1.1811023622047,-40.348365545216,,,,,,BIGMAC_AUS
2002-04-30,3.0,1.86,1.62,1.2048192771084,-35.224770047934,,,,,,BIGMAC_AUS
2003-04-30,3.0,1.61,1.8,1.1070110701107,-31.241548440329,,,,,,BIGMAC_AUS
2004-05-31,3.25,1.43,2.27,1.1206896551724,-21.630094043887,,,,,,BIGMAC_AUS
2005-06-30,3.25,1.3015,2.4971187091817,1.062091503268,-18.394813425434,,,,,,BIGMAC_AUS
2006-01-31,3.25,1.3308,2.4421400661256,1.031746031746,-22.471743932519,,,,,,BIGMAC_AUS
2006-05-31,3.25,1.33253,2.4389694791112,1.0483870967742,-21.323565189962,,,,,,BIGMAC_AUS
2007-01-31,3.45,1.266865,2.7232578056857,1.0714285714286,-15.426776220941,,,,,,BIGMAC_AUS
2007-06-30,3.45,1.17,2.9487179487179,1.0117302052786,-13.527332882172,,,,,,BIGMAC_AUS
2008-06-30,3.45,1.026,3.3625730994152,0.96638655462185,-5.8102773273052,,,,,,BIGMAC_AUS
2009-07-31,4.34,1.2869,3.3724454114539,1.2156862745098,-5.5337419760817,,,,,,BIGMAC_AUS
2010-01-31,4.35,1.09355,3.9778702391294,1.2150837988827,11.113693830431,,,,,,BIGMAC_AUS
2010-07-31,4.35,1.1337225780851,3.8369175,1.1651785714286,2.7745758928571,,,,,,BIGMAC_AUS
2011-07-31,4.56,0.92238158926348,4.943724,1.1217712177122,21.616826568266,11.695403757759,-18.0564401528,2.7419628458979,5.8833350807384,8.1032630156835,BIGMAC_AUS
2012-01-31,4.8,0.97233701200836,4.93656,1.14361410648,17.614992780936,8.8296990836762,-7.262364285749,6.5076889406403,5.0361335663141,9.2181909968089,BIGMAC_AUS
2012-07-31,4.56,0.97432649680908,4.680156,1.053726169844,8.1491854419411,0.40561280731168,-9.5850079334696,-6.4319783855134,1.8078017194368,6.7139620660781,BIGMAC_AUS
2013-01-31,4.7,0.95909461468374,4.900455,1.076156176211,12.205423712643,-3.4427777867751,-19.910402499906,-9.217955259917,17.358037076669,0.75924587999201,BIGMAC_AUS
2013-07-31,5.035,1.0898588632772,4.61986425,1.1049743964887,1.3869257498171,-12.833963986464,-21.068999575452,-9.7006390835102,21.489476189341,-6.8085182143158,BIGMAC_AUS
2014-01-31,5.05,1.1288592876898,4.4735425,1.0920886646243,-3.2573256442602,-17.595986586753,-29.270083903203,-25.201030112957,25.099683762019,-18.576077071008,BIGMAC_AUS
2014-07-31,5.1,1.0593781450289,4.814145,1.0636079249218,0.3992700729927,-11.846416856471,-25.547998743505,-23.560022682712,10.822601817479,-5.8304209144604,BIGMAC_AUS
2015-01-31,5.3,1.2272197336933,4.318705,1.1064718162839,-9.8391440501044,-17.899533092507,-18.997635949314,-20.377829812621,9.742343199197,-13.431469554541,BIGMAC_AUS
2015-07-31,5.3,1.3512600499966,3.922265,1.1064718162839,-18.115553235908,-22.16909301562,-18.572958678984,-23.192558386062,6.9389292998638,-14.171058280931,BIGMAC_AUS
2016-01-31,5.3,1.4157287463722,3.743655,1.0750507099391,-24.063793103448,-28.164063585432,-22.28640311833,-22.29301357764,-4.004199228237,-20.675480415366,BIGMAC_AUS
2016-07-31,5.75,1.3357376611234,4.3047375,1.140873015873,-14.588541666667,-11.023576818166,-12.479626654539,2.4806495178727,4.3977631387833,-2.6810027782201,BIGMAC_AUS
2017-01-31,5.8,1.3566680233347,4.27518,1.1462450592885,-15.510276679842,-11.923378053359,-10.26357146293,7.4377096978706,9.996884047534,-5.8243387102146,BIGMAC_AUS
2017-07-31,5.9,1.3030164831585,4.527955,1.1132075471698,-14.566886792453,-11.701246201104,-13.026249622953,2.5842164589207,19.941711063031,-2.3577241447633,BIGMAC_AUS
2018-01-31,5.9,1.2536826929104,4.706135,1.1174242424242,-10.86865530303,-6.3880686080015,-16.471218080424,-4.0315041507564,22.033469841843,-7.0354236313621,BIGMAC_AUS
2018-07-31,6.05,1.3398539559188,4.5154175,1.0980036297641,-18.1,-15.4,-19.5,-7.7,10.0,-12.2,BIGMAC_AUS
2019-01-31,6.1,1.4016399187049,4.352045,1.0931899641577,-22.0,-19.2,-21.3,-8.0,2.8,-16.0,BIGMAC_AUS
2019-07-31,6.15,1.4436263894904,4.260105,1.0714285714286,-25.8,-23.4,-20.7,-9.4,2.1,-13.2,BIGMAC_AUS
2020-01-31,6.45,1.44906535284741,4.45114500000001,1.1375661375661374,-21.497,-17.5,-15.2,-10.100000000000001,8.7,-9.9,BIGMAC_AUS
2020-07-31,6.55,1.43061516452074,4.57845000000001,1.1471103327495613,-19.817,-15.5,-17.2,-5.2,8.1,-9.6,BIGMAC_AUS
2021-01-31,6.48,1.29996750081248,4.98474,1.1448763250883396,-11.899999999999999,-4.3,-15.0,1.6,18.3,-6.6000000000000005,BIGMAC_AUS
2021-07-31,6.55,1.36658694909464,4.79296249999999,1.159292035398231,-15.168999999999999,-8.072,-15.808,-9.002,21.575,-7.724,BIGMAC_AUS
2011-07-31,3.09,0.69752031527918,4.4299785,0.76014760147601,8.9785608856088,11.723068400476,-18.036144426836,2.7674099063726,5.9095601941821,8.1300379593897,BIGMAC_AUT
2012-01-31,3.09,0.78823946715012,3.9201285,0.7362015810465,-6.6017864205355,-4.4690566225036,-18.594704377807,-6.5073221085248,-7.7990565737053,-4.1280375875473,BIGMAC_AUT
2012-07-31,3.19,0.82484431063637,3.8673965,0.73714615829001,-10.632085499711,-8.6844346189537,-17.770571896985,-14.902996392144,-7.4091904398512,-2.9472007823268,BIGMAC_AUT
2013-01-31,3.39,0.73694682928627,4.6000605,0.77620626326711,5.3273088940301,4.0565642298968,-13.690056990127,-2.1671558802985,26.472922926427,8.5849478717847,BIGMAC_AUT
2013-07-31,3.39,0.77775617343963,4.3586925,0.74396488661302,-4.3447147037308,-5.506406662709,-14.4337152757,-2.1096807966001,31.702411659668,1.0255643722121,BIGMAC_AUT
2014-01-31,3.39,0.73721847469498,4.5983655,0.73310506397549,-0.55796359704452,-1.8449735978167,-15.750501773628,-10.903673740985,49.011707730632,-3.0124022626816,BIGMAC_AUT
2014-07-31,3.39,0.74274891372971,4.5641265,0.70698644421272,-4.8148800834202,-0.45699590923595,-15.928818757439,-13.683996685605,25.140854321316,6.3362652074509,BIGMAC_AUT
2015-01-31,3.39,0.86307340439304,3.9278235,0.70772442588727,-17.999509394572,-15.148615900161,-16.283512579725,-17.709952209597,13.419448945443,-10.530842217221,BIGMAC_AUT
2015-07-31,3.39,0.91270022361155,3.7142535,0.70772442588727,-22.458173277662,-20.398615735591,-16.720677468027,-21.445362630757,9.3715483198898,-12.218643781726,BIGMAC_AUT
2016-01-31,3.5,0.93023255813953,3.7625,0.70993914807302,-23.68154158215,-24.182179640317,-17.978718981598,-17.985695860323,1.31687204848,-16.27850242979,BIGMAC_AUT
2016-07-31,3.6,0.90830646260048,3.96342,0.71428571428571,-21.360714285714,-12.628724473629,-14.058506958523,0.63188364910132,2.5144122605924,-4.4366516865079,BIGMAC_AUT
2017-01-31,3.4,0.95524669245833,3.55929,0.67193675889328,-29.658300395257,-21.704809790043,-20.229334574973,-4.4938857712656,-2.2189229257477,-16.283104973085,BIGMAC_AUT
2017-07-31,3.4,0.87569508297211,3.88263,0.64150943396226,-26.742830188679,-19.250656970657,-20.462374590927,-6.1865799023169,9.6868749950135,-10.705992010288,BIGMAC_AUT
2018-01-31,3.4,0.81682662854809,4.16245,0.64393939393939,-21.16571969697,-11.516740257402,-21.047469092125,-9.2892837583217,15.347681099433,-12.128628953917,BIGMAC_AUT
2018-07-31,3.95,1.70175,2.3211400029381,0.71687840290381,-57.9,,,,,,BIGMAC_AZE
2019-01-31,3.95,1.6965,2.3283230179782,0.7078853046595,-58.3,,,,,,BIGMAC_AZE
2019-07-31,3.95,1.6965,2.3283230179782,0.68815331010453,-59.4,,,,,,BIGMAC_AZE
2020-01-31,3.95,1.6965,2.32832301797819,0.6966490299823632,-58.936,,,,,,BIGMAC_AZE
2020-07-31,3.95,1.699,2.32489699823426,0.6917688266199663,-59.284000000000006,,,,,,BIGMAC_AZE
2021-01-31,3.95,1.699,2.32489699823426,0.6978798586572451,-58.9,-26.200000000000003,-34.4,-21.6,-8.799999999999999,-27.900000000000002,BIGMAC_AZE
2021-07-31,3.95,1.699,2.32489699823426,0.6991150442477889,-58.851,-27.617000000000004,-33.709,-28.349999999999998,-4.274,-27.344,BIGMAC_AZE
2011-07-31,3.75,0.69752031527918,5.3761875,0.92250922509225,32.255535055351,39.182069451913,2.1087157939366,28.025312836118,31.939732533388,34.705953466613,BIGMAC_BEL
